stock_code,corp_name,corp_code,modify_date
000040,KR모터스,00112378,20230331
000050,경방,00101628,20221208
000070,삼양홀딩스,00126937,20230109
000080,하이트진로,00150244,20221228
000100,유한양행,00145109,20230208
000120,CJ대한통운,00113410,20230105
000140,하이트진로홀딩스,00148993,20230102
000150,두산,00117212,20230214
000180,성창기업지주,00133335,20221229
000210,DL,00109693,20230502
000220,유유제약,00144818,20230302
000230,일동홀딩스,00146083,20221130
000240,한국앤컴퍼니,00160047,20230102
000250,삼천당제약,00128546,20221220
000270,기아,00106641,20230109
000300,대유플러스,00126089,20230215
000320,노루홀딩스,00113508,20221208
000370,한화손해보험,00135917,20230323
000390,삼화페인트공업,00129387,20221201
000400,롯데손해보험,00113562,20221229
000430,대원강업,00111847,20230102
000440,중앙에너비스,00149770,20221205
000480,시알홀딩스,00148984,20230731
000490,대동,00109286,20211213
000500,가온전선,00104768,20230324
000520,삼일제약,00128032,20220225
000540,흥국화재,00103176,20221226
000590,CS홀딩스,00149026,20221208
000640,동아쏘시오홀딩스,00116824,20220228
000650,천일고속,00151395,20221205
000660,SK하이닉스,00164779,20221213
000670,영풍,00141307,20230102
000680,LS네트웍스,00104698,20220330
000700,유수홀딩스,00163691,20211213
000720,현대건설,00164478,20230109
000760,이화산업,00145686,20221110
000810,삼성화재해상보험,00139214,20230104
000850,화천기공,00166519,20230215
000860,강남제비스코,00100939,20230214
000880,한화,00160588,20230503
000890,보해양조,00123541,20230109
000910,유니온,00144252,20211125
000950,전방,00147222,20221207
000970,한국주철관공업,00159573,20230327
000990,DB하이텍,00160843,20230330
001000,신라섬유,00135999,20230222
001020,페이퍼코리아,00134723,20211210
001040,CJ,00148540,20230109
001060,JW중외제약,00149947,20230512
001070,대한방직,00112970,20220204
001080,만호제강,00120872,20220607
001120,LX인터내셔널,00120076,20221202
001130,대한제분,00113243,20221128
001140,국보,00104519,20231018
001200,유진증권,00131054,20230110
001210,금호전기,00106395,20221129
001230,동국홀딩스,00114792,20230616
001250,GS글로벌,00138190,20220329
001260,남광토건,00107066,20220221
001270,부국증권,00123772,20221201
001290,상상인증권,00112059,20230330
001340,백광산업,00122472,20230324
001360,삼성제약,00126414,20231005
001380,SG글로벌,00152039,20221128
001390,KG케미칼,00101220,20230220
001420,태원물산,00154055,20221209
001430,세아베스틸지주,00106669,20230330
001440,대한전선,00113207,20230518
001450,현대해상,00164973,20230105
001460,BYC,00122579,20230810
001470,삼부토건,00125974,20230316
001500,현대차증권,00137997,20221209
001510,SK증권,00131850,20221228
001520,동양,00117337,20220225
001530,디아이동일,00118345,20230215
001540,안국약품,00139205,20220304
001550,조비,00148948,20221229
001560,제일연마,00148461,20221124
001570,금양,00106119,20230621
001620,케이비아이동국실업,00114765,20230303
001630,종근당홀딩스,00149354,20211214
001680,대상,00121941,20221206
001720,신영증권,00136721,20220304
001740,SK네트웍스,00131780,20230906
001750,한양증권,00162416,20221130
001770,SHD,00137809,20230130
001780,알루코,00117027,20221130
001790,대한제당,00113234,20230220
001800,오리온홀딩스,00117577,20230216
001810,무림SP,00121507,20211209
001820,삼화콘덴서공업,00129350,20211117
001840,이화공영,00145668,20221207
001880,DL건설,00128971,20221201
001940,KISCO홀딩스,00159740,20221229
002020,코오롱,00152862,20220404
002030,아세아,00138701,20221209
002070,비비안,00107677,20221207
002100,경농,00101433,20230221
002140,고려산업,00102751,20230131
002150,도화엔지니어링,00114552,20230327
002170,삼양통상,00127042,20230220
002200,한국수출포장공업,00158112,20230210
002210,동성제약,00116268,20221215
002220,한일철강,00163196,20221202
002230,피에스텍,00155638,20230202
002240,고려제강,00103006,20230215
002290,삼일기업공사,00127936,20221208
002310,아세아제지,00138729,20221221
002320,한진,00163512,20230427
002350,넥센타이어,00173874,20230104
002360,SH에너지화학,00136457,20221212
002380,케이씨씨,00105271,20230104
002390,한독,00161046,20221226
002410,범양건영,00122694,20230328
002420,세기상사,00133618,20221201
002450,삼익악기,00127857,20221129
